Название,Описание,Цена,Картинка
Ноутбук Lenovo V15 Intel Celeron N4020 4GB DDR4 240GB SSD DOS Iron Gray,"Ноутбук Lenovo V15 Intel Celeron N4020 4GB DDR4 240GB SSD DOS Iron Grayэкран 15.6"" TN 1366x768; процессор Intel Celeron N4020 (2/2) 1100-2800 MHz; оперативная память 4GB DDR4; накопитель 240GB SSD; видеоадаптер Intel Graphics; DOS",21990 сом,https://www.kivano.kg/images/product/109568/1660211091_45839700.jpg
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 120GB SSD FHD DOS indigo blue,"Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 120GB SSD FHD DOS indigo blueэкран 15.6"" TN 1920x1080; процессор Intel Core i3-1005G1 (2/4) 1200-3400 MHz; оперативная память 8GB DDR4; накопитель 1000GB HDD + 120GB SSD; видеоадаптер Intel Graphics; DOS",46000 сом,https://www.kivano.kg/images/product/112128/1665570763_65756600.png
Ноутбук Acer Aspire A315-58-34X1 Intel Core i3-1115G4 20GB DDR4 512GB SSD FHD DOS Silver,"Ноутбук Acer Aspire A315-58-34X1 Intel Core i3-1115G4 20GB DDR4 512GB SSD FHD DOS Silverэкран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20GB DDR4; накопитель 512GB SSD; видеоадаптер Intel Graphics; DOS",44250 сом,https://www.kivano.kg/images/product/113152/1667383603_55712700.jpg
Ноутбук Lenovo V15 Intel Celeron N4020 4GB DDR4 500GB SSD DOS Iron Gray,"Ноутбук Lenovo V15 Intel Celeron N4020 4GB DDR4 500GB SSD DOS Iron Grayэкран 15.6"" TN 1366x768; процессор Intel Celeron N4020 (2/2) 1100-2800 MHz; оперативная память 4GB DDR4; накопитель 500GB SSD; видеоадаптер Intel Graphics; DOS",23330 сом,https://www.kivano.kg/images/product/109569/1660211110_84096700.jpg
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 120GB SSD FHD DOS indigo blue,"Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 120GB SSD FHD DOS indigo blueэкран 15.6"" TN 1920x1080; процессор Intel Core i3-1005G1 (2/4) 1200-3400 MHz; оперативная память 12GB DDR4; накопитель 1000GB HDD + 120GB SSD; видеоадаптер Intel Graphics; DOS",48210 сом,https://www.kivano.kg/images/product/112129/1665570861_28250300.png
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 128GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 128GB SSD FHD DOS Electric Blueэкран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 4GB DDR4; накопитель 128GB SSD; видеоадаптер Intel Graphics; DOS",34910 сом,https://www.kivano.kg/images/product/113153/1667385146_23636700.jpg
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 128GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 128GB SSD FHD DOS Electric Blueэкран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 8GB DDR4; накопитель 128GB SSD; видеоадаптер Intel Graphics; DOS",36630 сом,https://www.kivano.kg/images/product/113154/1667385214_08802400.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Pentium Gold 7505 4GB DDR 120GB SSD Intel HD Graphics FHD DOS Platinum Grey,Ноутбук Lenovo Ideapad L3-15ITL6 Intel Pentium Gold 7505 4GB DDR 120GB SSD Intel HD Graphics FHD DOS Platinum GreyТип: ноутбук; Операционная система: DOS; Процессор: Intel Pentium 7505; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Intel HD Graphics; Объем оперативной памяти: 4 GB; Объем накопителя SSD: 120 GB; Вес: от 1.65 кг,32730 сом,https://www.kivano.kg/images/product/112131/1665630432_02346800.png
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 128GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 128GB SSD FHD DOS Electric Blueэкран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 12GB DDR4; накопитель 128GB SSD; видеоадаптер Intel Graphics; DOS",38440 сом,https://www.kivano.kg/images/product/113155/1667385281_14197400.jpg
Ноутбук MSI GF65 Thin Intel Core i5-10500H 8GB DDR4 512GB SSD Nvidia RTX 3060 6GB FHD W10 черный,Ноутбук MSI GF65 Thin Intel Core i5-10500H 8GB DDR4 512GB SSD Nvidia RTX 3060 6GB FHD W10 черныйТип: ноутбук; Операционная система: Windows 10; Процессор: Intel Core i5-10500H; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia RTX 3060; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 512 Gb; Вес: от 1.86 кг,114670 сом,https://www.kivano.kg/images/product/105220/1649411594_80493100.jpg
Ноутбук Lenovo V15 Intel Celeron N4020 4GB DDR4 1000GB HDD + 240GB SSD DOS Iron Gray,"Ноутбук Lenovo V15 Intel Celeron N4020 4GB DDR4 1000GB HDD + 240GB SSD DOS Iron Grayэкран 15.6"" TN 1366x768; процессор Intel Celeron N4020 (2/2) 1100-2800 MHz; оперативная память 4GB DDR4; накопитель 1000GB HDD + 240GB SSD; видеоадаптер Intel Graphics; DOS",22970 сом,https://www.kivano.kg/images/product/109572/1660211216_17431700.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Pentium Gold 7505 4GB DDR 1000GB HDD + 120GB SSD Intel HD Graphics FHD DOS Platinum Grey,Ноутбук Lenovo Ideapad L3-15ITL6 Intel Pentium Gold 7505 4GB DDR 1000GB HDD + 120GB SSD Intel HD Graphics FHD DOS Platinum GreyТип: ноутбук; Операционная система: DOS; Процессор: Intel Pentium 7505; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Intel HD Graphics; Объем оперативной памяти: 4 GB; Объем накопителя HDD: 1000GB; Объем накопителя SSD: 120 GB; Вес: от 1.65 кг,35390 сом,https://www.kivano.kg/images/product/112132/1665630576_78133500.png
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 128GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 128GB SSD FHD DOS Electric Blueэкран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20GB DDR4; накопитель 128GB SSD; видеоадаптер Intel Graphics; DOS",41060 сом,https://www.kivano.kg/images/product/113156/1667385363_05217200.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 256GB SSD NVidia MX330 2GB FHD DOS серый,Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 256GB SSD NVidia MX330 2GB FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX330; Объем оперативной памяти: 8 GB DDR4; Объем накопителя HDD: 1000; Объем накопителя SSD: 256 GB; Вес: от 1.85 кг,59680 сом,https://www.kivano.kg/images/product/102149/1641270382_24545500.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Pentium Gold 7505 4GB DDR 500GB HDD + 120GB SSD Intel HD Graphics FHD DOS Platinum Grey,Ноутбук Lenovo Ideapad L3-15ITL6 Intel Pentium Gold 7505 4GB DDR 500GB HDD + 120GB SSD Intel HD Graphics FHD DOS Platinum GreyТип: ноутбук; Операционная система: DOS; Процессор: Intel Pentium 7505; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Intel HD Graphics; Объем оперативной памяти: 4 GB; Объем накопителя HDD: 500 GB; Объем накопителя SSD: 120 GB; Вес: от 1.65 кг,35120 сом,https://www.kivano.kg/images/product/112133/1665630695_61962500.png
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 256GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 256GB SSD FHD DOS Electric Blueэкран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 4GB DDR4; накопитель 256GB SSD; видеоадаптер Intel Graphics; DOS",35860 сом,https://www.kivano.kg/images/product/113157/1667385655_07413500.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Pentium Gold 7505 8GB DDR 120GB SSD Intel HD Graphics FHD DOS Platinum Grey,Ноутбук Lenovo Ideapad L3-15ITL6 Intel Pentium Gold 7505 8GB DDR 120GB SSD Intel HD Graphics FHD DOS Platinum GreyТип: ноутбук; Операционная система: DOS; Процессор: Intel Pentium 7505; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Intel HD Graphics; Объем оперативной памяти: 8 GB; Объем накопителя SSD: 120 GB; Вес: от 1.65 кг,34500 сом,https://www.kivano.kg/images/product/112134/1665630845_44369400.png
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 256GB SSD FHD DOS Electric Blue,"Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 256GB SSD FHD DOS Electric Blueэкран 15.6"" IPS 1920x1080; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 8GB DDR4; накопитель 256GB SSD; видеоадаптер Intel Graphics; DOS",37610 сом,https://www.kivano.kg/images/product/113158/1667385727_51539800.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 512GB SSD NVidia MX330 2GB FHD DOS серый,Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 512GB SSD NVidia MX330 2GB FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX330; Объем оперативной памяти: 8 GB DDR4; Объем накопителя HDD: 1000; Объем накопителя SSD: 512 GB; Вес: от 1.85 кг,61890 сом,https://www.kivano.kg/images/product/102151/1641270567_61666300.jpg
Ноутбук Lenovo Ideapad Gaming 3 AMD Ryzen 7-5800H 16GB DDR 512GB SSD Nvidia RTX 3050Ti 4GB FHD DOS черный,Ноутбук Lenovo Ideapad Gaming 3 AMD Ryzen 7-5800H 16GB DDR 512GB SSD Nvidia RTX 3050Ti 4GB FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор: AMD Ryzen 7-5800H; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia RTX 3050Ti; Объем оперативной памяти: 16 Gb DDR4; Объем накопителя SSD: 512 Gb; Вес: от 2.2 кг,96220 сом,https://www.kivano.kg/images/product/110087/1661396675_43287400.jpeg
